isolabel_ext,status,cover,overlay
CM-CE-Obala,0,a1h a1m a1r a1v,
CM-CE-Okala,0,a0m a1h a1m,
CM-CE-Olanguina,0,a4h a4m,
CM-CE-Ombessa,0,a30p a30y a30z a31k a31s a31t a31y a31z a32n a32p a32z a33j a33k a33n a33p a33s a33t a33y a33z a39j a39n,
CM-CE-Saa,0,a1r a1v a3h a3m,
CM-CE-Soa,0,a14p a14s a14t a14y a14z a15j a15k a15n a15p a15s a15t a15y a15z a16n a16p a17j a17k a17n a17p a17s a17t a17z,
CM-CE-Yaounde1,0,a14n a14p a14s a14y a14z a15s,
CM-CE-Yaounde2,0,a14j a14k a14n a14p a14s a14z,
CM-CE-Yaounde3,0,a14j a14n dbbn dbej dbek dbep dbes dbet dbey dbez,
CM-CE-Yaounde4,0,a14n a15j dbek dbep dbes dbey dbez dbft,
CM-CE-Yaounde5,0,a14n a14p a14z a15j a15k,
CM-CE-Yaounde6,0,a14j a14n dbes dbet,
CM-CE-Yaounde7,0,a11n a14j a14k dbet,
CM-CE-Yoko,0,6g ag aq bq,
CM-EN-Blangoua,0,1cv 1eh 1em,
CM-EN-Bogo,0,14m 15h 3em 3ev 3fr,
CM-EN-Bourha,0,38v 39r 3am 3bh,
CM-EN-Darak,0,19v 1bm 1bv 1cr 1eh 1em 1er 1ev,
CM-EN-Dargala,0,3eh 3em,
CM-EN-Datcheka,0,3d3y 3d3z 3d6k 3d6s 3d6t 3d6y 3d6z 3d9n 3dcj,
CM-EN-Dziguilao,0,3cm 3cv 3dh 3dr,
CM-EN-Fotokol,0,19v 1ch 1cr,
CM-EN-Gazawa,0,3b5t 3b5y 3b7n 3b7p 3b7s 3b7t 3b7y 3b7z 3bdj 3bdn 3e0t 3e2j 3e2k 3e2s 3e2t,
CM-EN-Gobo,0,3dm 48h 48m 48r 48v,
CM-EN-Goulfey,0,1cm 1cv 1dh 1dr 1eh 1em,
CM-EN-Gueme,0,3fh 3fm,
CM-EN-Guere,0,3dm 3dv 48h 48r,
CM-EN-Guidiguis,0,3cm 3cv 3dr,
CM-EN-HileAlifa,0,1cr 1eh,
CM-EN-Hina,0,39r 39v 3bh 3bm,
CM-EN-Kaele,0,3ch 3cm 3cr 3cv 3eh,
CM-EN-KaiKai,0,3fh 3fm 3fr 3fv,
CM-EN-Kalfou,0,3dr 3dv 3fh 3fm,
CM-EN-KarHay,0,3d3t 3d3y 3d8n 3d8p 3d9j 3d9k 3d9n 3d9p 3d9s 3d9t 3d9y 3d9z 3dcj 3dck 3dcs 3dct,
CM-EN-Kolofata,0,11m 11v,
CM-EN-Kousseri,0,17ay 17bk 17bp 17bs 17bt 17by 17bz 1d0n 1d1j 1d1n,
CM-EN-Koza,0,11h 11m 3br 3bv,
CM-EN-LogoneBirni,0,15r 15v 16m 16v 17h 17m 17r 17v 1cm 1dh,
CM-EN-Maga,0,15h 15m 3fr 3fv,
CM-EN-Makary,0,1ch 1cm 1cr 1cv 1dh 1eh 1em,
CM-EN-Maroua1,0,3bm 3bv 3eh 3er,
CM-EN-Maroua2,0,3e2y 3e3t 3e8n 3e9j 3e9k,
CM-EN-Maroua3,0,14h 3eh 3em 3er 3ev,
CM-EN-Meri,0,3bm 3bv 3eh 3er,
CM-EN-Mindif,0,3cr 3cv 3eh 3em,
CM-EN-Mogode,0,3am 3bh 3br,
CM-EN-Mokolo,0,11h 39v 3bh 3bm 3br 3bv,
CM-EN-Mora,0,11m 11v 14h 14m 14r 14v 3bv,
CM-EN-Moulvoudaye,0,3cv 3dr 3em 3ev 3fh 3fr,
CM-EN-Moutourwa,0,39v 3bm 3cr 3eh,
CM-EN-Mozogo,0,111n 111p 111y 111z 113n 114j 114k 114n 114p 114s 114t 114y 114z 116j 116k 116n,
CM-EN-Ndoukoula,0,39v 3bm 3eh,
CM-EN-Pette,0,14h 14m 15h 3er 3ev,
CM-EN-SouledeRoua,0,3bbn 3bcs 3bct 3bcy 3bcz 3bdk 3bds 3bdt 3bej 3bek 3ben 3bep 3bfj 3bfk,
CM-EN-Tchatibali,0,3d2k 3d2p 3d2y 3d2z 3d3s 3d3t 3d3y 3d3z 3d8n 3d9j,
CM-EN-Tokombere,0,115n 140j 140n 3bdy 3bfj 3bfk 3bfn 3bfp 3bfs 3bft 3bfy 3bfz 3eak 3eas 3eat 3eay 3eaz,
CM-EN-Touloum,0,3cv 3dr,
CM-EN-Waza,0,14m 14r 14v 15h 15r 16m 17h,
CM-EN-Wina,0,3d6t 3d6y 3d6z 3dcj 3dck 3dcn 3dcp 3dcs 3dcz,
CM-EN-Yagoua,0,3dm 3dv 3fm 48r,
CM-EN-Zina,0,14m 15h 15m 15r 15v,
CM-ES-AbongMbang,0,b0h b0m b1h ear eav ebr,
CM-ES-Angossas,0,a5m a5v b0h b0r,
CM-ES-Atok,0,a5h a5m b0h dfr dfv ear,
CM-ES-Batouri,0,b1v b3m b4r b4v b5r b6h b6m b6r b7h,
CM-ES-Belabo,0,adm adv b2m b2r b2v b3h b3r b8h b8m b8r b8v b9h b9m b9r b9v,
CM-ES-Bertoua1,0,b1bt b30n b30p b30y b30z b31j b31k b31s b31t b32n b32p b33j b33k b33s,
