code_b16h,jurisd_local_id,isolabel_ext
29dK,40405,CM-EN-Moutourwa
932Y,20704,CM-CE-Ombessa
847T,50103,CM-LT-Douala3
8e3P,60405,CM-NW-WidikumBoffe
