isolabel_ext,status,base_intlevel,cover,overlay,cover_order,overlay_order
CM-CE-Dibang,1,,900N 900P 900Y 900Z 901J 901K 901N 901P 901S 901T 901Y 901Z 903J 903K 903N 903P 903Y 904T 906J 906K 906S caaY caaZ cabT cabZ,,2 3 6 7 8 9 B C D F G H S T U V Y 5 0 K N Q R X Z,
CM-CE-Dzeng,1,,cbM cbV ceH ceR,,F H S U,
CM-CE-Ebebda,1,,91aN 91aP 91aY 91bJ 91bK 91bN 91bP 91bS 91bT 91bY 91bZ 91eT 931J 931N 931P 934J,,L M Q S T U V W X Y Z P 8 B C 0,
CM-CE-Edzendouan,1,,917P 917S 917T 917Y 917Z 91dJ 91dK 91dN 91dP 91dY 91dZ 942S 942T 948J 948K 948N 948P 948S 948T 948Y 948Z 949S 949T 94aJ 94aN,,V W X Y Z 8 9 B C G H N P 0 1 2 3 4 5 6 7 D F J L,
CM-CE-EligMfomo,1,,912Z 913T 913Y 913Z 916T 918N 918P 919J 919K 919N 919P 919S 919Y 91cJ 91cK 91cS,,R X Y Z P 2 3 8 9 B C D G 0 1 4,
CM-CE-Endom,1,,ceH ceM ceR ceV,,S T U V,
CM-CE-Eseka,1,,caH caM caR caV,,8 9 B C,
CM-CE-Esse,1,,91M 94H 94M 94R,,5 J K L,
CM-CE-Evodoula,1,,907Z 90dN 912K 912S 912T 912Y 912Z 913S 913T 918J 918N,,Z B 6 N P Q R W X 0 2,
CM-CE-Kiiki,1,,927N 927P 927S 927T 927Y 927Z 92dJ 92dN 930T 930Z 932J 932K 932N 932P 932S 932T 932Y 938J,,U V W X Y Z 8 B 5 7 J K L M N P Q 0,
CM-CE-Kobdombo,1,,954S 954T 954Z 956J 956K 956N 956P 956S 956T 956Y 956Z 957J 957K 957S 957T 95cN 95dJ,,4 5 7 J K L M N P Q R S T W X 2 8,
CM-CE-KonYambetta,1,,926Z 927S 927T 92cN 92cP 92cY 92cZ 92dJ 92dK 92dN 92dP 92dS 92dT 92dY 92dZ 92fJ 92fN 938K 938S 938T,,R W X 2 3 6 7 8 9 B C D F G H S U 1 4 5,
CM-CE-LembeYezoum,1,,94M 94R 94V 95R,,K L M Q,
CM-CE-Lobo,1,,910J 910K 910N 910P 910S 910T 910Y 910Z 911J 911K 911P 911S 911T 911Y 912J 912N 913J cbaS cbaT cbaY cbaZ,,0 1 2 3 4 Z Y B 8 9 C D F G J L S N P Q R,
CM-CE-Makak,1,,caH caM caV cbH cbR,,8 9 C D G,
CM-CE-Makenene,1,,87M 87V 92H 92R 92V,,X Z 8 B C,
CM-CE-Matomb,1,,904N 905J 905K 905N 905P 905S 905Y 910J 910K 910S caeP caeY caeZ cafJ cafK cafN cafP cafS cafT cafY cafZ cbaJ cbaK cbaN cbaP cbaS cbaT cbaY,,2 8 9 B C D G 0 1 4 3 5 R S T U V W X Y Z J K L M N P Q,
CM-CE-Mbalmayo,1,,cb4T cb4Y cb4Z cb5T cb5Z cb6J cb6K cb6N cb6P cb6S cb6T cb6Y cb6Z cb7J cb7K cb7N cb7P cb7S cb7T cb7Y cb7Z cbcJ cbcK cbcN cbcP cbdJ cbdK,,X 6 7 F H J D L M N P Q R S T U V W K Y Z 0 1 2 3 8 9,
CM-CE-Mbandjock,1,,91V 94R 96H,,7 L S,
CM-CE-Mbangassina,1,,91aY 91bS 91bT 931J 931K 931N 931P 931S 931Y 931Z 933N 933P 934K 934P 934S 934T 934Y 934Z 936J 936K 936N 936P 936S 936T 936Y 936Z 937J 937K 937S,,Q W X 8 9 B C D G H U V 1 3 4 5 6 7 J K L M N P 0 R S T 2,
CM-CE-Mbankomo,1,,910N 911J 911N 914J cb9S cb9T cb9Y cb9Z cbaN cbaP cbaY cbaZ cbbJ cbbK cbbN cbbP cbbS cbbT cbbY cbbZ cbcS cbcT cbeJ cbeK cbeS cbeT,,2 8 B 0 D F G H L M Q R S T U V W X Y Z 4 5 9 K N P,
CM-CE-Mengang,1,,941P 941Y 944J 944K 944N 944P 944S 944T 944Y 944Z 945J 945K 945S cebN cebP cebY cebZ ceeJ ceeK ceeN ceeP ceeS ceeT ceeY ceeZ cefK cefS cefT,,S G 0 1 2 3 4 5 6 7 8 9 D U V Y Z J K L M N P Q R T W X,
CM-CE-Mengueme,1,,c9R c9V cbH cbM,,6 7 D F,
CM-CE-Messondo,1,,bfH bfM bfV caH caR,,W X Z 8 B,
CM-CE-Mfou,1,,cb7T cb7Z cbcP cbcY cbcZ cbdJ cbdK cbdN cbdP cbdS cbdT cbdY cbdZ cbeN cbeP cbeY cbfJ cbfK cbfN cbfP cbfS cbfT cbfY cbfZ ce8K ce8S,,K Z 3 6 7 8 9 B C D F G H L M Q S T U V W X Y 5 1 4,
CM-CE-Minta,1,,95V 97M 97V a2H a2M a2R a2V,,R X Z 8 9 B C,
CM-CE-Monatele,1,,90dN 90dP 90dY 918J 918K 918N 918P 918S 918T 918Y 918Z 919K 919P 919S 919T 919Y 919Z 91aN 91aP 91bJ 91bK 91bN 91cS,,B Q J 0 1 2 3 8 5 6 7 9 C D F G H L M S T U 4,
CM-CE-NangaEboko,1,,94V 95R 95V 96H 96M 96R 96V 97H 97M 97R 97V 9dH 9dM,,M Q R S T U V W X Y Z N P,
CM-CE-Ndikinimeki,1,,85V 87M 92H 92M 92R 92V,,R X 8 9 B C,
CM-CE-NgambeTikar,1,,98M 98V 99H 99R 99V 9bH 9bM 9bR 9bV 9cR 9cV 9eH 9eM 9eR 9eV,,1 3 4 6 7 D F G 9 L M S T B C,
CM-CE-NgogMapubi,1,,901N 901P 901Y 901Z 904J 904K 904N 904P 904S 904T 904Y 905J 905K 905S cabZ caeS caeT caeZ,,B C G H 0 1 2 3 V 5 6 8 9 D Z N P R,
CM-CE-Ngomedzap,1,,c8V c9R caM cbH,,3 6 9 D,
