isolabel_ext,status,base_intlevel,cover,overlay,cover_order,overlay_order
CM-ES-Mbang,1,,a1H a1M a1V a4H a4M a4R a4V a5H dbV deR deV dfR,,4 5 7 J K L M N H U V Y,
CM-ES-Mboma,1,,957Y 957Z 95dN 95dP 95dY 95dZ a02T a08J a08K a08N a08P a08S a08T,,Y Z B C G H P 0 1 2 3 4 5,
CM-ES-Messamena,1,,95M a0H cfH cfM cfR cfV daH daM daR daV,,P 0 W X Y Z 8 9 B C,
CM-ES-Messock,1,,d9M d9R d9V dcH dcM dcR dcV deH deM,,5 6 7 J K L M S T,
CM-ES-Mindourou,1,,a1H a1M d8V daH daM daV dbH dbM dbR dbV deH deM deR deV,,4 5 3 8 9 C D F G H S T U V,
CM-ES-Mouloundou,1,,d5R d5V d6M d6V d7H d7M d7R d7V e0R e0V e1H e1M e1R e1V e2H e2M e2R e2V e3H e3M e3R e3V,,Q R T V W X Y Z 2 3 4 5 6 7 8 9 B C D F G H,
CM-ES-Ndelele,1,,a4M a4V a5H a5M a5R a5V dfR,,K M N P Q R Y,
CM-ES-Ngoura,1,,a3M a3V a6H a6R a6V a9M acH acM,,F H S U V 5 J K,
CM-ES-Ngoyla,1,,d3H d3M d3R d3V d6H d6M d6R d6V d9H d9M dcH dcM,,D F G H S T U V 4 5 J K,
CM-ES-Nguelebok,1,,a1H a1M a1R a1V a4R,,4 5 6 7 L,
CM-ES-Nguelemendouka,1,,95M 95V 97M a0R a2H a2M,,P R X 2 8 9,
CM-ES-Ouli,1,,a6V a7R acM adH,,V Y K N,
CM-ES-Salapoumbe,1,,d6V d7R d7V dcM ddH ddM e2R e2V e3R e8H e8M e9H,,V Y Z K N P B C G 0 1 4,
CM-ES-Somalomo,1,,cdV cfM d8R d8V daH daM,,R X 2 3 8 9,
CM-ES-Yokadouma,1,,dcH dcM dcV ddH ddM ddR ddV deM dfH dfM dfR dfV e8H e8M e8R e8V e9H e9R eaH eaM eaR,,J K M N P Q R T W X Y Z 0 1 2 3 4 6 8 9 B,
CM-LT-Bare,1,,86fY 86fZ 878T 87aJ 87aK 87aN 87aP 87aS 87aT 87aY 87aZ 87bJ 87bK 8c5N 8d0J 8d0N,,Y Z 5 J K L M N P Q R S T B 0 2,
CM-LT-Bonalea,1,,849S 849T 849Y 849Z 84bJ 84bK 84bN 84bP 84bY 84bZ 84cP 84cS 84cT 84cY 84cZ 84eJ 84eK 84eN 84eP 84eS 84eT 84eY 84eZ 84fT,,D F G H S T U V Y Z 3 L 5 6 7 J K 4 M N P Q R X,
CM-LT-Dibamba,1,,84M 85H 85M,,K N P,
CM-LT-Dibombari,1,,843K 843P 843S 843T 843Y 843Z 846T 846Z 848K 848N 848P 848S 848T 848Y 848Z 849J 849K 849N 849P 849S 849Y 84cJ 84cK 84cN 84cP 84cS 84cY,,T V B X Y Z P R 1 2 S 4 5 J 7 8 9 W C D G 0 H F 3 L 6,
CM-LT-Dizangue,1,,84M 85H beV bfR,,K N V 0,
CM-LT-Douala1,1,,843N 844T 846J 846K 846S 846Y,,U 5 J K N Q,
CM-LT-Douala2,1,,844T 844Z 846J 846K 846N,,5 7 J K L,
CM-LT-Douala3,1,,844Y 844Z 845S 845T 846J 846K 846N 846P 846Y 847J 847K 847S,,6 7 D F J K L M Q S T W,
CM-LT-Douala4,1,,841Z 842P 843J 843K 843N 843P 843S 843Y 843Z 846J 846K 846S 846T 846Y 846Z,,H M S T U V B Y Z J K N P Q R,
CM-LT-Douala5,1,,846K 846P 846S 846Y 846Z 847S 847T 84cN 84cP 84dJ 84dK,,K M N Q R W X F 3 8 9,
CM-LT-Douala6,1,,81M 84H 84M beR beV,,5 J K U V,
CM-LT-Ebone,1,,867T 867Z 86dJ 86dK 86dN 86dP 86dS 86dT 86dY 86dZ 86fJ 86fK 86fN 86fP 86fS 86fY 872T 872Z 878J 878K 878N 878P 878S 878T 878Y,,X Z 8 9 B C D F G H S T U V W Y P R 0 1 2 3 4 5 6,
CM-LT-Edea1,1,,85H bcV beM bfH bfR,,N M T W 0,
CM-LT-Edea2,1,,85H 85M 85V bfR bfV,,N P R 0 Z,
CM-LT-Loum,1,,866J 866K 866N 866P 866S 866T 866Y 866Z 867K 867P 867S 867T 867Y 867Z 86cJ 86cN 86dN 872S 872T 878J,,J K L M N 3 Q R T V W X Y Z 5 2 B 1 P 0,
CM-LT-Manjo,1,,866Z 867T 86cJ 86cK 86cN 86cP 86cS 86cY 86cZ 86dJ 86dK 86dS 86dT 86eN 86eP 86eY 86eZ 86fJ 86fK 86fS 86fT,,R X 5 1 2 3 4 6 7 8 9 D F L M Q B S T W N,
CM-LT-Massok,1,,857N 857P 857S 857T 857Y 857Z 85dN 85dP 902J 902K 902P 902S 902T 902Y 902Z 903K 903P 903S 903T 903Y 903Z 908J 908K 908N 909J 909K 909N 909P 909S 909Y,,U 7 H F 6 5 4 3 J K M N P Q R T V W X Y Z 0 1 2 8 9 B C D G,
CM-LT-Mbanga,1,,848T 848Z 849S 849T 84aN 84aP 84aY 84aZ 84bJ 84bK 84bP 84bS 84bT 84bY 84bZ 84eT 84eZ 860N 860P 860Y 861J 861K 861N 861P 861S 861Y 864J 864K 864N 864S,,5 7 D F L M Q H S T V W X Y Z P R J 3 6 8 9 B C K G 0 1 2 4,
CM-LT-Melong,1,,86fT 86fY 86fZ 8c4Y 8c4Z 8c5J 8c5K 8c5N 8c5P 8c5S 8c5T 8c5Y 8c5Z 8c6N 8c6P 8c6Y 8c7J 8c7K 8c7N 8c7P 8c7S 8c7T 8c7Y 8d0J 8d0K 8d0S 8d0T 8d2J 8d2K,,N Y Z 6 7 8 9 B C D F G H L M Q S 2 U V W X 3 0 1 4 5 J K,
CM-LT-Mombo,1,,861K 861P 861S 861T 861Y 861Z 863J 863N,,9 C K F G H S U,
CM-LT-Mouanko,1,,beH beM beR beV bfH bfR,,S T U V W 0,
CM-LT-Ndobian,1,,87bP 87bY 87bZ 87cN 87cP 87cS 87cT 87cY 87cZ 87dK 87dS 87dT 87eJ 87eK 87eN 87eP 87eS 87eT 87eY 87eZ 87fJ 87fK 87fS 87fT 8d1N 8d1P 8d4J 8d4K 8d4N 8d4P,,V Y Z 8 G 4 5 6 7 9 D F J K L M N P Q R S T W X B C 0 1 2 3,
CM-LT-Ndom,1,,90R 90V 92H 92M,,2 3 8 9,
CM-LT-Ngambe,1,,85V 90R 92H,,R 2 8,
CM-LT-Ngwei,1,,85M bfH bfM bfR bfV,,P W X 0 Z,
CM-LT-Nkondjock,1,,87H 87M 87R 87V,,W X Y Z,
CM-LT-Nkongsamba1,1,,86dZ 86fN 86fP 878S 878T 878Y 878Z 87aJ 87aK 87aN 87aP 87bJ 87bK,,H U V 4 5 6 7 J K L M S T,
CM-LT-Nkongsamba2,1,,86fP 86fY 86fZ 87aK 87aS,,V Y Z K N,
CM-LT-Nkongsamba3,1,,86fN 86fP 86fS 86fT 86fY 86fZ,,U V W N Y Z,
CM-LT-Nyanon,1,,903Y 903Z 906S 906T 906Z 907T 909N 909P 909Y 909Z 90cJ 90cK 90cN 90cP 90cS 90cT 90cY 90cZ 90dJ 90dK 90dP 90dS 90dT 90dY 90eN 90eP 90fJ,,Y Z N P R X B C G H 0 1 2 3 4 5 6 7 8 9 Q D F J L M S,
CM-LT-Penja,1,,861Y 861Z 863N 863P 863Y 864J 864K 864N 864P 864S 864T 864Y 864Z 866J 866K 866N 866S,,G H U V Y 0 1 2 3 4 5 6 7 J K L N,
CM-LT-Pouma,1,,85M 90H bfV caR,,P 0 Z B,
CM-LT-Yabassi,1,,84M 84V 85H 85R 85V 86M 87H 87M,,K M N Q R T W X,
CM-LT-Yingui,1,,85H 85M 85R 85V 87H 87M 87V 90R 92H,,N P Q R W X Z 2 8,
CM-NO-Bascheo,1,,22R 22V 28H 28M,,B C 0 1,
CM-NO-Beka,1,,15H 15M 15V 17M 20R 5eM 5eV 5fR 5fV,,N 4 R X 2 T V Y Z,
CM-NO-Bibemi,1,,21R 21V 22M 23H 23M 23V 26H 26R,,6 7 9 D F H S U,
CM-NO-Dembo,1,,22V 23R 28M 29H,,C G 1 4,
CM-NO-Figuil,1,,23V 29M 29V 2cH 2cR,,H 5 7 J L,
CM-NO-Gachiga,1,,223T 223Y 223Z 226K 226P 226S 226T 226Y 226Z 227T 228N 228P 229J 229K 229N 229P 229S 229Y 229Z 22bN 22cJ 22cK 22cN 22cP 22cS 22cT 22cY 22dJ 22dK,,S Y Z K M N P Q R X 7 F J L B C D G H U 0 1 2 3 4 5 6 8 9,
CM-NO-Garoua1,1,,224Y 224Z 225S 225T 226N 226P 226Y 227J,,6 7 D F L M Q S,
CM-NO-Garoua2,1,,225T 226N 226P 226Y 227J 227K 227N 227P 227S,,F L M Q S T U V W,
CM-NO-Garoua3,1,,224N 224P 224Y 225J 225K 225N 225P 225S 225T 225Y 225Z 227J 227N 227P 230K 230S 230T,,2 3 6 8 9 B C D F G H S U V 1 4 5,
CM-NO-Guider,1,,23R 23V 29H 29M 29R 29V,,G H 4 5 6 7,
CM-NO-Lagdo,1,,20M 20V 21H 21R 21V 6aV 6bR,,F 3 4 6 7 C G,
CM-NO-Madingring,1,,25M 6dR 6dV 6eM 6fH 6fM 6fR 6fV 7aR,,P Q R 1 W X Y Z B,
CM-NO-MayoHourna,1,,17M 22H 22M 22R,,X 8 9 B,
CM-NO-MayoOulo,1,,23R 28M 28V 29H 29M 29R,,G 1 3 4 5 6,
CM-NO-Ngong,1,,20H 20M 20R 20V 21R 22H 22M 23H,,5 F 2 3 6 8 9 D,
CM-NO-Pitoa,1,,22M 22V 23H 23M 23R 23V,,9 C D F G H,
CM-NO-Poli,1,,15M 20H 20M 5dM 5dR 5dV 5eM 5eV 5fH 5fM 5fR 5fV 68H 68M 68R 68V 6aH 6aM 6aR 6aV,,4 5 F P Q R T V W X Y Z 0 1 2 3 8 9 B C,
CM-NO-ReyBouba,1,,21H 21M 21R 21V 23M 24H 24M 24R 24V 25H 25M 25R 26H 6eR 6eV 6fR 6fV,,4 0 6 7 F J K L M N P Q S B R Y Z,
CM-NO-Tchollire,1,,21H 21M 24H 66M 66R 66V 68R 68V 69M 69R 69V 6aH 6aM 6aV 6bH 6bM 6bR 6bV 6cH 6cM 6cR 6cV 6eH 6eM 6eR 6eV 6fH 6fR,,4 0 J T U V 2 3 5 6 7 8 9 C D F G H N K L M S 1 B R W Y,
CM-NO-Touboro,1,,66M 66V 67H 67R 67V 6cM 6cV 6dH 6dM 6dR 6dV 6eM 6fH 6fM 6fV 72R 78H 78R 78V 7aH 7aR,,T V 4 Y 5 K M N P Q R 1 W X Z 6 0 2 3 8 B,
CM-NO-Touroua,1,,15M 15V 17M 20H 20R 22H,,4 R X 5 2 8,
CM-NW-Ako,1,,47M 50R 50V 52H 52R,,X 2 3 8 B,
CM-NW-Andek,1,,8e6Z 8e7S 8e7T 8e7Z 8ecJ 8ecK 8ecN 8ecP 8ecS 8ecY 8edJ 8edK 8edN 8edP 8edS 8edT 8edY 8edZ,,R W X M 0 1 2 3 4 6 8 9 B C D F G H,
CM-NW-Babessi,1,,8fcY 8fcZ 8fdP 8fdS 8fdT 8fdY 8fdZ 8feN 8feP 8ffJ 8ffK 8ffN 8ffP 8ffS 9a2S 9a2T 9a2Y 9a2Z 9a8J 9a8K 9a8N 9a8P 9a8S 9a8T 9a8Y 9aaJ,,6 7 C D F G H L M S T U V W N P Q R 0 1 2 3 4 5 8 J,
CM-NW-Bafut,1,,445N 445P 450J 450K 450N 450P 450S 8efZ 8f8Z 8f9S 8f9T 8f9Y 8f9Z 8faJ 8faK 8faN 8faP 8faS 8faT 8faY 8faZ 8fbJ 8fbK 8fbN 8fbP 8fbS 8fbY,,B C 0 1 T 3 4 Z 7 D F G H J K L M N X Q R S 2 U V W Y,
CM-NW-Bali,1,,8e7P 8e7Y 8f2J 8f2K 8f2P 8f2S 8f2T 8f2Y 8f2Z 8f8N,,V Y 0 K M N P Q R 2,
CM-NW-Balikumbat,1,,8f6J 8f6K 8f6N 8f6P 8f6S 8f6T 8f6Y 8f6Z 8f7J 8f7K 8f7N 8f7P 8f7S 8f7T 8f7Y 8f7Z 8fcJ 8fcN 8fdJ 9a2K 9a2S,,J 9 L M 3 P Q R S T U V W X Y Z 0 2 8 K N,
CM-NW-Bamenda1,1,,8f3S 8f3T 8f3Y 8f3Z 8f6S 8f6T 8f9J 8f9N,,W X Y Z 3 P 8 B,
CM-NW-Bamenda2,1,,8f2Y 8f2Z 8f3S 8f3T 8f8N 8f8P 8f8Y 8f8Z 8f9J 8f9K 8f9S 8f9T,,Q R W X 2 3 6 7 8 9 D F,
CM-NW-Bamenda3,1,,8f9J 8f9K 8f9N 8f9P 8f9S 8f9Y,,8 9 B C D G,
CM-NW-Batibo,1,,8e5S 8e5T 8e5Y 8e5Z 8e6N 8e6P 8e6Y 8e7J 8e7K 8e7N 8e7P 8e7S 8e7T 8e7Y 8e7Z 8f0S 8f0T 8f2J 8f2K 8f2S 8f2T,,D F G H 8 9 Q S T U V W X Y M L 5 0 K N P,
CM-NW-Belo,1,,454N 455J 455K 455N 455P 455S 455Y 8fbP 8fbY 8fbZ 8feK 8feN 8feP 8feS 8feT 8feY 8feZ 8ffK 8ffS 8ffT,,2 8 U B C S G V Y Z K L M N P Q 1 T W X,
CM-NW-Benakuma,1,,44M 44V 45H 8eV,,K M N V,
CM-NW-Elak,1,,455J 455N 455P 455Y 500J 500K 500N 8ffJ 8ffK 8ffN 8ffP 8ffS 8ffT 8ffY 8ffZ 9aaK 9aaS 9aaT 9aaZ,,8 B C G 0 1 2 S T U V W X Y Z K N P R,
CM-NW-Fonfuka,1,,45M 45V 50H,,P R 0,
CM-NW-Fundong,1,,451J 451K 451N 451P 451S 451T 451Y 451Z 454J 454K 454N 454P 454S 454T 454Y 454Z 455K 455S 455T 455Y 455Z 456J 456K 456N 456P,,V 9 B C D F Q H 0 1 2 3 4 5 6 7 U S N G P J K L M,
CM-NW-FuruAwa,1,,45R 45V 46M 47H 47M,,Q R T W X,
CM-NW-Jakiri,1,,8fdZ 8ffN 8ffP 9a8P 9a8S 9a8T 9a8Y 9a8Z 9a9S 9a9T 9a9Y 9a9Z 9aaJ 9aaK 9aaN 9aaP 9aaS 9aaT 9aaY 9aaZ 9abJ 9abK 9abN 9abP 9abS,,H U V 3 4 5 8 7 D F G 0 J K L M N P Q R S T 1 C W,
CM-NW-Kumbo,1,,500N 500P 501J 501K 501N 9aaT 9aaY 9aaZ 9abK 9abP 9abS 9abT 9abY 9abZ,,2 3 8 9 B P Q R T C W X Y Z,
CM-NW-Mbengwi,1,,8e7Z 8edJ 8edK 8edN 8edP 8edY 8edZ 8efN 8efP 8efY 8efZ 8f2T 8f2Z 8f8J 8f8K 8f8N 8f8P 8f8S 8f8T 8f8Y 8f8Z 8faJ 8faK 8faN 8faS 8faT,,M 8 9 B C G H U V Y Z P R 0 1 2 3 4 5 6 7 J K L N X,
CM-NW-Mbiame,1,,50H 50M 9aR 9aV,,0 1 B C,
CM-NW-Misaje,1,,45M 45V 47M 50H 50R 52H,,P R X 0 2 8,
CM-NW-Ndop,1,,8f7T 8f7Y 8f7Z 8fcN 8fcP 8fcY 8fdJ 8fdK 8fdN 8fdP 8fdS 8fdT 8fdY 9a0T 9a2J 9a2K 9a2P 9a2S 9a2T 9a2Y 9a8J 9a8K,,X Y Z 2 3 6 8 9 B C D F G 5 H K M N P Q 0 1,
CM-NW-Ndu,1,,501T 501Z 502N 502P 503J 503K 503N 503P 503S 503Y 503Z 504K 504P 504S 504T 504Y 504Z 505K 506J 506K 506N 506P 506S 506T 509N 50cJ 50cK,,F H L M S T U V W Y Z Q 3 4 5 6 7 9 J K 2 8 N P B 0 1,
CM-NW-Nijkwa,1,,444N 445J 445K 8ecY 8ecZ 8edS 8edT 8edZ 8eeN 8eeP 8eeY 8eeZ 8efJ 8efK 8efN 8efP 8efS 8efT 8efY 8efZ,,2 8 9 6 7 D F H L M Q R S T U V W X Y Z,
CM-NW-Njinikom,1,,450N 451J 451K 451N 454J 454N 454P 455J 455K 8faY 8faZ 8fbS 8fbT 8fbY 8fbZ 8feT 8feZ,,T V 9 B 0 2 3 8 U Q R W X Y Z P 1,
CM-NW-Nkambe,1,,502P 502Y 502Z 503K 503S 503T 503Y 503Z 508N 508P 508Y 508Z 509J 509K 509N 509P 509S 509T 509Y 509Z 50bN 50cJ 50cK 50cS 50cT 50eJ,,M Q R T W X Y Z 2 3 6 7 8 9 B C D F G H U 0 1 4 5 J,
CM-NW-Nkor,1,,455P 455Y 455Z 457N 500J 500K 500N 500P 500S 500T 500Y 500Z 502J 502K 502N 502P 502S 502Y,,C G P U 0 1 2 3 4 5 6 7 J K L M N Q,
CM-NW-Nkum,1,,500P 500Y 500Z 501J 501K 501N 501P 501S 501T 501Y 501Z 502N 503J 504K 504S 504T,,3 6 7 8 9 B C D F G H L S Q 4 5,
CM-NW-Nwa,1,,50M 50R 50V 51H 51R 52H 9aV,,1 2 3 4 6 8 C,
CM-NW-Santa,1,,8f0S 8f0T 8f0Y 8f0Z 8f1S 8f1T 8f1Y 8f1Z 8f2J 8f2K 8f2N 8f2P 8f2Y 8f3J 8f3K 8f3N 8f3P 8f3S 8f3T 8f3Y 8f3Z 8f4K 8f4S 8f4T 8f6J 8f6K 8f6S,,L 5 6 7 D F G H 0 K 2 M Q S T U V W X Y Z 1 4 N J 9 3,
CM-NW-Tubah,1,,8f3Z 8f6T 8f9N 8f9P 8f9Y 8f9Z 8fbN 8fbP 8fbY 8fcJ 8fcK 8fcN 8fcP 8fcS 8fcT 8fcY 8fcZ 8feJ 8feK 8feN 8feP 8feS,,Z P B C G H U V Y 0 1 2 3 4 5 6 7 J K L M N,
CM-NW-WidikumBoffe,1,,8e3Y 8e3Z 8e4Z 8e5T 8e6K 8e6N 8e6P 8e6S 8e6T 8e6Y 8e6Z 8e7J 8e7K 8e7S 8e7T 8e9N 8e9P 8e9Y 8e9Z 8ecJ 8ecK 8ecN 8ecS 8ecT 8ecY 8ecZ 8eeJ 8eeN 8eeP,,Y Z 3 F K 8 9 N P Q R S T W X B C G H 0 1 2 4 5 6 7 J L M,
CM-NW-Wum,1,,450N 450P 450S 450T 450Y 450Z 451J 451K 451S 451T 452J 452K 452N 452P 452S 452Y 453J 453K,,T 3 4 5 6 7 V 9 D F J K L M N Q S 0,
CM-NW-Zhoa,1,,44M 44V 45H 45M 45R 45V 46M 47H,,K M N P Q R T W,
CM-OU-Babadjou,1,,8dbT 8dbZ 8f0P 8f0Y 8f1J 8f1K 8f1N 8f1P 8f1S 8f1T 8f1Y 8f1Z,,X Z 3 6 8 9 B C D F G H,
CM-OU-Bafang,1,,8d1J 8d1K 8d1P 8d1S 8d1T 8d1Y 8d1Z 8d4K 8d4S,,8 9 C D F G H 1 4,
CM-OU-Bafoussam1,1,,8ddS 8ddT 8ddY 8ddZ 8dfJ 8dfN 8dfP 988T 98aJ 98aK 98aS,,D F G H S U V 5 J K N,
CM-OU-Bafoussam2,1,,8ddT 8deN 8deP 8deY 8deZ 8dfJ 8dfK 8dfN 8dfP 8dfS 8dfT 8dfY 98aK 98aS,,F L M Q R S T U V W X Y K N,
CM-OU-Bafoussam3,1,,8dcY 8dcZ 8ddS 8ddT 8deN 8deP 8deY 8dfJ 8dfK,,6 7 D F L M Q S T,
CM-OU-Baham,1,,8d6Y 8d6Z 8d7K 8d7S 8d7T 8dcN 8ddJ,,Q R T W X 2 8,
CM-OU-Bakou,1,,87aP 87aY 87aZ 87bJ 87bK 87bS 87bT 87bY 87bZ 8d0N 8d1J 8d1K 8d1N 8d1P,,M Q R S T W X Y Z 2 8 9 B C,
CM-OU-Bamendjou,1,,8d6S 8d6T 8dcJ 8dcK 8dcN 8dcP 8dcS 8dcY 8dcZ,,N P 0 1 2 3 4 6 7,
CM-OU-Bana,1,,8d1P 8d4J 8d4K 8d4P 8d4S 8d4T 8d4Y 8d4Z,,C 0 1 3 4 5 6 7,
CM-OU-Bandja,1,,8d3J 8d3K 8d3N 8d3P 8d3S 8d3T 8d3Y 8d3Z 8d4T 8d4Z 8d6J 8d6K 8d6N 8d6S 8d6T 8d9N 8d9P 8dcJ 8dcK,,S T U V W X Y Z 5 7 J K L N P B C 0 1,
CM-OU-Bangangte,1,,87V 8dM 92R 92V 98H 98M,,Z P B C 0 1,
CM-OU-Bangou,1,,8d4Y 8d4Z 8d5T 8d6J 8d6K 8d6N 8d6P 8d6S 8d6Y 8d6Z 8d7J 8d7K 8d7S,,6 7 F J K L M N Q R S T W,
CM-OU-Bangourain,1,,9a0T 9a0Z 9a2J 9a2K 9a2N 9a2P 9a2Y 9a2Z 9a3J 9a3K 9a3S 9a3T 9a3Y 9a3Z 9a8N 9a8P 9a8Y 9a9J 9a9K 9a9N 9a9P 9a9S 9a9Y,,5 7 H K L M Q R S T W X Y Z 2 3 8 6 9 B C D G,
CM-OU-Banka,1,,8d1T 8d1Y 8d1Z 8d3J 8d3K 8d3N 8d3P 8d4S 8d4T 8d6J,,F G H S T U V 4 5 J,
CM-OU-Banwa,1,,87aZ 8d0J 8d0K 8d0N 8d0P 8d0Y 8d1J 8d1K 8d1S,,R 0 1 2 3 6 8 9 D,
CM-OU-Bassamba,1,,92aT 980J,,P 0,
CM-OU-Batcham,1,,8daZ 8dbK 8dbN 8dbP 8dbS 8dbT 8dbY 8dbZ 8deJ 8deK 8deP 8deS 8deT 8f0N 8f1J 8f1N,,R T U V W X Y Z J K M N P 2 8 B,
CM-OU-Batie,1,,8d3Y 8d6K 8d6P 8d6S 8d6T 8d6Y 8d6Z 8dcJ 8dcN,,Y K M N P Q R 0 2,
CM-OU-Bayangam,1,,8d7K 8d7N 8d7P 8d7S 8d7T 8d7Y 8d7Z,,T U V W X Y Z,
CM-OU-Bazou,1,,87eZ 87fJ 87fK 87fS 87fT 87fY 87fZ 8d4N 8d4P 8d5J 8d5K 8d5N 8d5P 8d5S 8d5Y,,R S T W X Y Z 2 3 8 9 B C D G,
CM-OU-Demding,1,,8d7T 8d7Y 8d7Z 8ddJ 8ddN 982S 982T 988J,,X Y Z 8 B N P 0,
CM-OU-Dschang,1,,8cdP 8cdY 8cdZ 8d2T 8d2Z 8d8J 8d8K 8d8N 8d8P 8d8S 8d8T 8d8Y 8d8Z 8daJ 8daN,,C G H P R 0 1 2 3 4 5 6 7 J L,
CM-OU-Fokoue,1,,8d2P 8d2Y 8d2Z 8d3K 8d3S 8d3T 8d3Z 8d8N 8d8P 8d9J 8d9K 8d9N 8d9P,,M Q R T W X Z 2 3 8 9 B C,
CM-OU-FongoTongo,1,,8cfN 8cfP 8cfY 8d8T 8daJ 8daK 8daN 8daP 8daS 8daT 8daY 8daZ 8f0N,,U V Y 5 J K L M N P Q R 2,
CM-OU-Foumban,1,,98R 98V 9aH 9aM,,2 3 8 9,
CM-OU-Foumbot,1,,8dV 98H 98R,,R 0 2,
CM-OU-Galim,1,,8dfT 8f4J 8f4K 8f4N 8f4P 8f4S 8f4T 8f4Y 8f4Z 8f5J 8f5K 8f5N 8f5P 8f5S 8f5T 8f5Y 8f5Z 8f6J 8f6N 8f7J 8f7K 8f7N 8f7P 9a0S 9a0T 9a2J 9a2K,,X 0 1 2 3 4 N 6 7 8 9 B C D F G P J L S T U V M 5 H K,
CM-OU-Kekem,1,,8d0K 8d0P 8d0S 8d0T 8d0Y 8d0Z 8d1S 8d1T 8d2N 8d2P 8d3J 8d3K,,1 3 4 5 6 7 D F L M S T,
CM-OU-Kouoptamo,1,,8dfT 8dfY 8dfZ 8f5J 8f5N 8f5P 8f5Y 98aS 98aT 98aY 98aZ 9a0J 9a0K 9a0N 9a0P 9a0S 9a0T 9a0Y 9a0Z 9a2J,,X Y 9 8 B C G N P Q R 0 1 2 3 M 5 6 7 H,
CM-OU-Koutaba,1,,98aY 98aZ 98bJ 98bK 98bN 98bP 98bS 98bT 98bY 98bZ 9a0J 9a0K 9a0N 9a0P 9a0Y 9a0Z 9a1J 9a1K 9a1N 9a1P 9a1S 9a1T 9a1Y 9a1Z 9a3J,,Q R 4 T U V W X Y Z 0 1 2 3 6 7 8 9 B C D F G H S,
CM-OU-Magba,1,,50M 51H 9aM 9aV 9bH 9bR,,1 4 9 C D G,
CM-OU-Malentouen,1,,98V 99R 9aM 9bH,,3 6 9 D,
CM-OU-Massangam,1,,92R 92V 98H 98M 98R 98V 99R,,B C 0 1 2 3 6,
CM-OU-Mbouda,1,,8dbZ 8deK 8deP 8deS 8deT 8deY 8deZ 8dfS 8dfT 8dfY 8dfZ 8f1N 8f1P 8f1Y 8f4J 8f4K 8f4N 8f4S 8f5J,,Z K M N P Q R W X Y 9 B C G 0 1 2 4 8,
CM-OU-Njimom,1,,9aH 9aM 9aR 9aV 9bH,,8 9 B C D,
CM-OU-NkongZem,1,,8d8P 8d8Y 8d8Z 8d9K 8d9S 8d9T 8d9Y 8d9Z 8daN 8daP 8daY 8daZ 8dbJ 8dbK 8dbN 8dbP 8dbS 8dbT 8f0N,,3 6 7 9 D F G H L M Q R S T U V W X 2,
CM-OU-PenkaMichel,1,,8d9J 8d9K 8d9N 8d9P 8d9S 8d9Y 8d9Z 8dbN 8dcK 8dcS 8dcT 8dcY 8dcZ 8deJ 8deK 8deN 8deP,,8 9 B C D G H U 1 4 5 6 7 J K L M,
CM-OU-PeteBandjoun,1,,8d7T 8dcN 8dcP 8dcY 8ddJ 8ddK 8ddN 8ddP 8ddS 8ddT 8ddY 8ddZ,,X 2 3 6 8 9 B C D F G H,
CM-OU-Santchou,1,,8c7K 8c7P 8c7S 8c7T 8c7Y 8c7Z 8cdJ 8cdN 8cdP 8cdY 8d0T 8d0Z 8d2J 8d2K 8d2N 8d2P 8d2S 8d2T 8d2Y 8d2Z 8d3K 8d8J 8d8K 8d8S,,2 V W X 3 Z 8 B C G 5 7 J K L M N P Q R T 0 1 4,
CM-OU-Tonga,1,,87dK 87dS 87dT 87dY 87dZ 87fJ 87fK 87fN 87fP 87fS 87fY 87fZ 8d5N 928T 928Z 92aJ 92aK 92aN 92aP 92aS 92aT 92aY 92aZ 92bK 92bS 92bT 980J 980N 981J,,9 D F G H S T U V W Y Z B 5 7 J K L M N P Q R 1 3 X 0 2 8,
CM-SU-AkomIi,1,,b7V bdH bdM bdV c2R c8H c8R,,Z N P R B 0 2,
CM-SU-Ambam,1,,c2M c2V c3H c3M c3R c3V c8M c9H,,9 C D F G H 1 4,
CM-SU-Bengbis,1,,cdR cdV ceM cfH cfM cfR,,Q R T W X Y,
CM-SU-Bipindi,1,,bdH bdM bdR bdV bfM c8R caH,,N P Q R X 2 8,
CM-SU-BiwongBane,1,,c8cZ c8dK c8dN c8dP c8dS c8dT c8dY c8dZ c8eN c8eP c8fJ c8fK c8fN c8fP c98K c98P c98S c98T c98Y c98Z c99S c9aJ c9aK c9aN,,0 9 B C D F G H L M S T U V 1 3 4 5 6 7 2 J K 8,
CM-SU-BiwongBulu,1,,c3V c9H c9M c9V ccH,,H 4 5 7 J,
CM-SU-Campo,1,,b6M b6V b7H b7M b7R b7V bdH c2R,,T V W X Y Z N B,
CM-SU-Djoum,1,,c7H c7M c7R c7V cdH cdM cdR cdV d2H d2M d2R d2V d8H,,W X Y Z N P Q R 8 9 B C 0,
CM-SU-Ebolowa1,1,,c8H c8M c8R c8V c9H c9R,,0 1 2 3 4 6,
CM-SU-Ebolowa2,1,,c3R c3V c6R c8H c8M c8R c9H c9M c9R,,G H U 0 1 2 4 5 6,
CM-SU-Efoulan,1,,c8M c8R c8V,,1 2 3,
